record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
16598,11,4,1989,21,BA,M,13.0,7.0
16599,11,4,1989,21,BA,M,12.0,6.0
16854,12,5,1989,3,BA,M,14.0,8.0
16951,1,7,1990,5,BA,F,13.0,9.0
17174,2,25,1990,5,BA,M,14.0,7.0
17190,2,25,1990,5,BA,F,14.0,7.0
17374,4,24,1990,1,BA,M,14.0,7.0
17486,4,26,1990,3,BA,M,14.0,7.0
17566,5,25,1990,3,BA,F,14.0,10.0
17616,6,22,1990,3,BA,F,14.0,8.0
17773,8,17,1990,3,BA,F,15.0,9.0
17935,10,16,1990,3,BA,F,13.0,8.0
18085,12,15,1990,19,BA,F,14.0,8.0
18132,12,16,1990,3,BA,F,13.0,8.0
18252,1,12,1991,3,BA,F,14.0,9.0
18323,2,16,1991,19,BA,F,14.0,18.0
18509,3,14,1991,3,BA,F,14.0,8.0
18574,4,19,1991,19,BA,F,12.0,12.0
18604,4,21,1991,3,BA,F,13.0,10.0
18666,5,13,1991,19,BA,F,12.0,7.0
18687,5,14,1991,3,BA,F,11.0,8.0
18768,6,13,1991,18,BA,F,12.0,9.0
18778,6,14,1991,3,BA,F,12.0,9.0
18828,7,12,1991,19,BA,F,14.0,11.0
18855,7,13,1991,3,BA,F,14.0,13.0
18935,8,7,1991,18,BA,F,14.0,10.0
19015,9,9,1991,19,BA,F,7.0,11.0
19109,10,10,1991,20,BA,F,13.0,6.0
19121,10,10,1991,2,BA,M,13.0,6.0
19220,11,13,1991,19,BA,F,14.0,10.0
19249,11,13,1991,19,BA,M,12.0,8.0
19256,11,14,1991,3,BA,F,16.0,9.0
19260,11,14,1991,21,BA,M,14.0,7.0
19274,11,14,1991,3,BA,F,12.0,8.0
19380,12,7,1991,19,BA,F,13.0,9.0
19409,12,7,1991,19,BA,M,12.0,9.0
19474,12,8,1991,5,BA,F,13.0,8.0
19499,12,8,1991,3,BA,M,13.0,8.0
19514,12,8,1991,3,BA,M,14.0,8.0
19543,1,8,1992,19,BA,F,13.0,9.0
19567,1,8,1992,19,BA,M,6.0,8.0
19584,1,8,1992,19,BA,F,13.0,7.0
19698,2,7,1992,3,BA,M,12.0,7.0
19755,3,7,1992,19,BA,F,14.0,7.0
19775,3,7,1992,19,BA,F,14.0,9.0
