record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
3,7,16,1977,2,DM,F,37.0,43.15786396413954
4,7,16,1977,7,DM,M,36.0,43.15786396413954
5,7,16,1977,3,DM,M,35.0,43.15786396413954
8,7,16,1977,1,DM,M,37.0,43.15786396413954
9,7,16,1977,1,DM,F,34.0,43.15786396413954
12,7,16,1977,7,DM,M,38.0,43.15786396413954
13,7,16,1977,3,DM,M,35.0,43.15786396413954
15,7,16,1977,6,DM,F,36.0,43.15786396413954
16,7,16,1977,4,DM,F,36.0,43.15786396413954
21,7,17,1977,14,DM,F,34.0,43.15786396413954
23,7,17,1977,13,DM,M,36.0,43.15786396413954
25,7,17,1977,9,DM,M,35.0,43.15786396413954
26,7,17,1977,15,DM,M,31.0,43.15786396413954
27,7,17,1977,15,DM,M,36.0,43.15786396413954
28,7,17,1977,11,DM,M,38.0,43.15786396413954
31,7,17,1977,15,DM,F,37.0,43.15786396413954
32,7,17,1977,10,DM,F,35.0,43.15786396413954
33,7,17,1977,11,DM,F,36.0,43.15786396413954
35,7,17,1977,13,DM,F,38.0,43.15786396413954
37,7,17,1977,11,DM,F,35.0,43.15786396413954
39,7,17,1977,11,DM,F,36.0,43.15786396413954
40,7,18,1977,20,DM,M,36.0,43.15786396413954
41,7,18,1977,23,DM,F,34.0,43.15786396413954
43,7,18,1977,21,DM,M,36.0,43.15786396413954
44,7,18,1977,18,DM,F,35.0,43.15786396413954
45,7,18,1977,22,DM,M,36.0,43.15786396413954
46,7,18,1977,19,DM,M,35.0,43.15786396413954
47,7,18,1977,18,DM,M,32.0,43.15786396413954
48,7,18,1977,20,DM,F,36.0,43.15786396413954
50,7,18,1977,18,DM,F,32.0,43.15786396413954
51,7,18,1977,21,DM,F,36.0,43.15786396413954
52,7,18,1977,12,DM,F,26.0,43.15786396413954
53,7,18,1977,22,DM,M,36.0,43.15786396413954
54,7,18,1977,18,DM,M,37.0,43.15786396413954
55,7,18,1977,23,DM,M,36.0,43.15786396413954
56,7,18,1977,20,DM,M,34.0,43.15786396413954
59,7,18,1977,19,DM,M,33.0,43.15786396413954
61,7,18,1977,23,DM,M,35.0,43.15786396413954
62,7,18,1977,19,DM,M,35.0,43.15786396413954
63,8,19,1977,3,DM,M,35.0,40.0
64,8,19,1977,7,DM,M,37.0,48.0
65,8,19,1977,4,DM,F,34.0,29.0
66,8,19,1977,4,DM,F,35.0,46.0
67,8,19,1977,7,DM,M,35.0,36.0
71,8,19,1977,7,DM,F,36.0,35.0
75,8,19,1977,8,DM,F,32.0,22.0
79,8,19,1977,7,DM,F,34.0,42.0
82,8,19,1977,4,DM,F,35.0,41.0
83,8,20,1977,6,DM,F,37.0,37.0
84,8,20,1977,19,DM,F,35.0,43.0
85,8,20,1977,23,DM,F,35.0,41.0
86,8,20,1977,18,DM,F,33.0,40.0
88,8,20,1977,18,DM,F,35.0,45.0
90,8,20,1977,18,DM,M,35.0,29.0
92,8,20,1977,6,DM,M,35.0,39.0
94,8,20,1977,18,DM,F,36.0,43.0
95,8,20,1977,23,DM,M,38.0,46.0
96,8,20,1977,12,DM,M,36.0,41.0
97,8,20,1977,18,DM,M,36.0,41.0
98,8,20,1977,5,DM,M,38.0,40.0
99,8,20,1977,11,DM,M,37.0,45.0
101,8,20,1977,5,DM,F,35.0,46.0
102,8,20,1977,23,DM,F,35.0,40.0
103,8,20,1977,18,DM,F,35.0,30.0
105,8,20,1977,19,DM,M,35.0,39.0
109,8,20,1977,6,DM,M,35.0,34.0
111,8,20,1977,11,DM,F,37.0,42.0
112,8,20,1977,23,DM,M,37.0,42.0
114,8,21,1977,15,DM,F,32.0,43.15786396413954
115,8,21,1977,21,DM,M,34.0,43.15786396413954
116,8,21,1977,13,DM,F,37.0,31.0
118,8,21,1977,17,DM,M,33.0,43.15786396413954
119,8,21,1977,20,DM,M,35.0,43.15786396413954
120,8,21,1977,20,DM,M,35.0,43.15786396413954
122,8,21,1977,22,DM,F,33.0,43.15786396413954
123,8,21,1977,17,DM,M,37.0,43.15786396413954
124,8,21,1977,14,DM,M,36.0,43.15786396413954
125,8,21,1977,22,DM,M,35.0,43.15786396413954
126,8,21,1977,20,DM,F,30.0,43.15786396413954
127,8,21,1977,14,DM,M,33.0,43.15786396413954
128,8,21,1977,15,DM,M,34.0,43.15786396413954
129,8,21,1977,14,DM,F,34.0,43.15786396413954
130,8,21,1977,16,DM,F,34.0,43.15786396413954
131,8,21,1977,22,DM,M,37.0,43.15786396413954
132,8,21,1977,22,DM,F,33.0,43.15786396413954
133,8,21,1977,15,DM,M,37.0,43.15786396413954
135,8,21,1977,15,DM,F,35.0,43.15786396413954
137,8,21,1977,20,DM,F,35.0,43.15786396413954
138,8,21,1977,22,DM,M,37.0,43.15786396413954
140,8,21,1977,20,DM,M,33.0,43.15786396413954
141,8,21,1977,16,DM,M,36.0,43.15786396413954
142,8,21,1977,17,DM,F,34.0,43.15786396413954
143,8,21,1977,15,DM,M,35.0,43.15786396413954
145,8,21,1977,13,DM,F,37.0,43.15786396413954
146,8,21,1977,13,DM,F,36.0,40.0
147,8,21,1977,13,DM,M,37.0,43.15786396413954
148,8,21,1977,14,DM,M,37.0,43.15786396413954
150,8,21,1977,21,DM,M,35.0,43.15786396413954
151,8,21,1977,13,DM,M,35.0,43.15786396413954
152,8,21,1977,14,DM,M,38.0,43.15786396413954
156,8,21,1977,21,DM,M,35.0,43.15786396413954
157,9,11,1977,20,DM,M,36.0,37.0
158,9,11,1977,22,DM,M,36.0,48.0
160,9,11,1977,21,DM,M,37.0,43.15786396413954
161,9,11,1977,5,DM,M,37.0,42.0
162,9,11,1977,6,DM,F,39.0,45.0
164,9,11,1977,22,DM,F,36.0,36.0
167,9,11,1977,6,DM,M,36.0,42.0
168,9,11,1977,12,DM,M,36.0,44.0
169,9,11,1977,5,DM,M,37.0,43.15786396413954
170,9,11,1977,20,DM,F,36.0,41.0
