record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
68,8,19,1977,8,DO,F,32.0,52.0
292,10,17,1977,3,DO,F,36.0,33.0
294,10,17,1977,3,DO,F,37.0,50.0
317,10,17,1977,17,DO,F,32.0,48.0
323,10,17,1977,17,DO,F,33.0,31.0
337,10,18,1977,8,DO,F,35.0,41.0
356,11,12,1977,1,DO,F,32.0,44.0
378,11,12,1977,1,DO,M,33.0,48.0
414,11,14,1977,8,DO,F,34.0,39.0
428,12,10,1977,9,DO,F,33.0,40.0
450,12,10,1977,1,DO,M,33.0,45.0
467,12,11,1977,8,DO,F,32.0,41.0
515,1,8,1978,9,DO,F,35.486334405144696,42.0
718,3,13,1978,8,DO,M,35.0,57.0
795,4,9,1978,17,DO,F,33.0,55.0
908,5,18,1978,17,DO,M,33.0,18.0
919,5,19,1978,8,DO,M,35.0,54.0
926,5,19,1978,1,DO,M,35.0,37.0
950,6,8,1978,8,DO,F,34.0,55.0
961,6,8,1978,8,DO,M,36.0,55.0
977,6,8,1978,17,DO,M,34.0,23.0
1013,6,9,1978,1,DO,M,35.0,38.0
1042,7,7,1978,8,DO,M,35.0,51.0
1070,7,7,1978,17,DO,M,35.0,33.0
1129,8,4,1978,17,DO,M,35.0,38.0
1210,9,3,1978,8,DO,M,35.0,54.0
1284,9,4,1978,6,DO,M,33.0,45.0
1321,10,7,1978,8,DO,M,36.0,50.0
1327,10,7,1978,11,DO,M,34.0,45.0
1409,11,4,1978,8,DO,M,35.0,54.0
1418,11,4,1978,8,DO,F,32.0,45.0
1424,11,4,1978,17,DO,F,31.0,45.0
1500,12,2,1978,8,DO,M,33.0,52.0
1506,12,2,1978,17,DO,F,33.0,44.0
1560,1,28,1979,11,DO,M,34.0,52.0
1623,2,24,1979,9,DO,F,35.486334405144696,61.0
1632,2,24,1979,17,DO,F,34.0,48.0
1687,3,31,1979,18,DO,F,32.0,29.0
1700,3,31,1979,17,DO,F,35.0,49.0
1706,3,31,1979,17,DO,F,34.0,50.0
1707,3,31,1979,18,DO,M,35.0,54.0
1750,4,28,1979,17,DO,F,34.0,51.0
1758,4,29,1979,18,DO,F,36.0,48.0
1767,4,29,1979,18,DO,F,35.0,48.87052341597797
1809,5,29,1979,12,DO,M,34.0,41.0
1811,5,29,1979,17,DO,M,33.0,29.0
1826,5,30,1979,18,DO,F,32.0,44.0
1830,5,30,1979,18,DO,M,35.0,40.0
1869,7,3,1979,17,DO,M,33.0,38.0
1899,7,4,1979,18,DO,F,34.0,53.0
1932,7,25,1979,18,DO,M,36.0,46.0
