record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
11,7,16,1977,5,DS,F,53.0,120.13054607508532
17,7,16,1977,3,DS,F,48.0,120.13054607508532
20,7,17,1977,11,DS,F,48.0,120.13054607508532
30,7,17,1977,10,DS,F,52.0,120.13054607508532
42,7,18,1977,18,DS,F,46.0,120.13054607508532
58,7,18,1977,12,DS,M,45.0,120.13054607508532
73,8,19,1977,3,DS,F,44.0,120.13054607508532
76,8,19,1977,9,DS,F,47.0,120.13054607508532
80,8,19,1977,1,DS,M,48.0,120.13054607508532
91,8,20,1977,11,DS,F,50.0,120.13054607508532
100,8,20,1977,5,DS,F,54.0,120.13054607508532
104,8,20,1977,11,DS,M,43.0,120.13054607508532
134,8,21,1977,17,DS,F,45.0,120.13054607508532
144,8,21,1977,15,DS,M,40.0,120.13054607508532
149,8,21,1977,20,DS,M,50.0,120.13054607508532
153,8,21,1977,16,DS,F,50.0,120.13054607508532
154,8,21,1977,20,DS,F,47.0,120.13054607508532
159,9,11,1977,5,DS,M,53.0,120.13054607508532
165,9,11,1977,19,DS,F,50.0,120.13054607508532
176,9,11,1977,12,DS,M,45.0,120.13054607508532
182,9,11,1977,21,DS,M,49.0,120.13054607508532
184,9,11,1977,20,DS,M,52.0,120.13054607508532
188,9,12,1977,14,DS,F,48.0,120.13054607508532
191,9,12,1977,17,DS,M,47.0,120.13054607508532
195,9,12,1977,4,DS,M,50.0,120.13054607508532
200,9,12,1977,17,DS,F,52.0,120.13054607508532
201,9,12,1977,10,DS,M,47.0,120.13054607508532
205,9,12,1977,16,DS,M,50.0,120.13054607508532
206,9,12,1977,23,DS,F,52.0,120.13054607508532
207,9,12,1977,16,DS,F,53.0,120.13054607508532
211,9,12,1977,4,DS,F,48.0,120.13054607508532
220,9,13,1977,2,DS,M,52.0,120.13054607508532
222,9,13,1977,1,DS,M,52.0,120.13054607508532
223,9,13,1977,8,DS,F,50.0,120.13054607508532
232,9,13,1977,9,DS,M,48.0,120.13054607508532
236,9,13,1977,9,DS,F,47.0,120.13054607508532
237,9,13,1977,9,DS,F,50.0,120.13054607508532
239,9,13,1977,1,DS,M,48.0,120.13054607508532
240,9,13,1977,9,DS,F,53.0,120.13054607508532
247,10,16,1977,2,DS,M,54.0,120.13054607508532
250,10,16,1977,18,DS,F,51.0,120.13054607508532
252,10,16,1977,6,DS,F,53.0,120.13054607508532
264,10,16,1977,9,DS,F,49.0,120.13054607508532
267,10,16,1977,22,DS,F,46.0,120.13054607508532
271,10,16,1977,9,DS,F,50.0,120.13054607508532
