record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
1,7,16,1977,2,NL,M,32.0,159.24565972222223
2,7,16,1977,3,NL,M,33.0,159.24565972222223
22,7,17,1977,15,NL,F,31.0,159.24565972222223
38,7,17,1977,17,NL,M,33.0,159.24565972222223
72,8,19,1977,2,NL,M,31.0,159.24565972222223
588,2,18,1978,2,NL,M,32.57743362831859,218.0
646,2,20,1978,18,NL,M,32.0,228.0
655,3,11,1978,3,NL,M,32.0,232.0
736,4,8,1978,6,NL,M,32.57743362831859,159.24565972222223
755,4,8,1978,3,NL,F,32.0,159.24565972222223
825,4,10,1978,18,NL,M,32.57743362831859,225.0
845,5,6,1978,2,NL,M,32.0,204.0
848,5,6,1978,22,NL,M,32.0,212.0
869,5,17,1978,20,NL,F,33.0,174.0
875,5,17,1978,5,NL,F,33.0,212.0
886,5,18,1978,3,NL,F,32.024193548387096,182.0
971,6,8,1978,17,NL,F,32.0,135.0
990,6,9,1978,2,NL,M,32.57743362831859,200.0
1029,6,9,1978,18,NL,M,32.0,232.0
1081,7,8,1978,14,NL,M,33.0,113.0
1083,7,8,1978,3,NL,F,34.0,115.0
1087,7,8,1978,3,NL,M,34.0,190.0
1119,8,4,1978,12,NL,M,33.0,189.0
1131,8,4,1978,20,NL,F,33.0,179.0
1146,8,4,1978,17,NL,F,32.0,149.0
1164,8,5,1978,2,NL,M,34.0,199.0
1168,8,5,1978,15,NL,F,31.0,196.0
1197,9,3,1978,12,NL,F,32.024193548387096,158.0
1204,9,3,1978,12,NL,M,32.57743362831859,189.0
1220,9,3,1978,20,NL,F,31.0,181.0
1250,9,4,1978,3,NL,F,34.0,141.0
1261,9,4,1978,2,NL,M,32.0,197.0
1285,9,4,1978,14,NL,M,32.0,118.0
1453,11,5,1978,2,NL,M,32.57743362831859,218.0
1465,11,5,1978,14,NL,M,32.0,153.0
1490,12,2,1978,12,NL,M,32.0,223.0
1512,12,2,1978,20,NL,F,31.0,181.0
1530,12,3,1978,14,NL,M,32.57743362831859,169.0
1729,4,28,1979,12,NL,F,31.0,86.0
1731,4,28,1979,12,NL,F,32.0,239.0
1756,4,29,1979,2,NL,M,33.0,166.0
1763,4,29,1979,18,NL,F,30.0,126.0
1776,4,29,1979,4,NL,M,32.0,101.0
1782,5,29,1979,12,NL,M,27.0,66.0
1784,5,29,1979,12,NL,M,30.0,72.0
1798,5,29,1979,12,NL,M,29.0,70.0
1807,5,29,1979,20,NL,M,27.0,40.0
1818,5,30,1979,2,NL,M,32.0,184.0
1863,7,3,1979,20,NL,F,30.0,94.0
1882,7,4,1979,2,NL,M,32.0,206.0
1914,7,24,1979,20,NL,F,30.0,116.0
1928,7,25,1979,14,NL,M,36.0,151.0
1966,8,21,1979,20,NL,F,30.0,136.0
1982,8,22,1979,12,NL,F,29.0,72.0
1993,8,22,1979,17,NL,F,30.0,105.0
2025,9,22,1979,20,NL,F,31.0,152.0
2078,10,24,1979,12,NL,F,32.0,92.0
2081,10,24,1979,12,NL,F,32.0,211.0
2102,10,24,1979,17,NL,M,32.0,133.0
2107,10,24,1979,20,NL,M,32.0,171.0
2133,10,25,1979,2,NL,F,33.0,274.0
2174,11,17,1979,14,NL,F,31.0,109.0
2184,11,17,1979,2,NL,F,30.0,186.0
2191,11,17,1979,17,NL,M,31.0,153.0
2211,11,18,1979,11,NL,F,33.0,122.0
2216,11,18,1979,13,NL,F,31.0,168.0
2231,11,18,1979,19,NL,F,33.0,122.0
2247,11,18,1979,12,NL,F,33.0,217.0
2305,1,15,1980,12,NL,F,32.0,214.0
2311,1,15,1980,12,NL,F,32.0,114.0
2329,1,15,1980,17,NL,M,35.0,187.0
2346,1,16,1980,5,NL,M,35.0,239.0
2350,1,16,1980,6,NL,M,35.0,241.0
2362,1,16,1980,17,NL,M,32.0,168.0
2395,1,16,1980,14,NL,F,33.0,120.0
2406,1,16,1980,2,NL,F,33.0,184.0
2498,2,25,1980,24,NL,F,34.0,170.0
2522,2,25,1980,14,NL,F,32.0,147.0
2558,3,9,1980,12,NL,M,32.57743362831859,74.0
2694,3,9,1980,20,NL,M,32.57743362831859,177.0
2728,3,9,1980,2,NL,F,32.024193548387096,159.24565972222223
2732,3,9,1980,20,NL,M,32.57743362831859,212.0
2751,3,21,1980,12,NL,M,32.57743362831859,97.0
2904,4,18,1980,18,NL,F,32.024193548387096,110.0
2927,5,17,1980,24,NL,M,32.57743362831859,109.0
2932,5,17,1980,1,NL,M,30.0,119.0
2952,5,17,1980,20,NL,M,32.0,207.0
2992,5,18,1980,14,NL,F,33.0,189.0
2994,5,18,1980,18,NL,M,32.0,73.0
2999,5,18,1980,14,NL,M,32.0,98.0
3000,5,18,1980,2,NL,F,31.0,87.0
3001,5,18,1980,18,NL,F,30.0,75.0
3002,5,18,1980,2,NL,F,33.0,174.0
3032,5,25,1980,5,NL,F,32.024193548387096,135.0
3058,6,22,1980,24,NL,F,34.0,187.0
3074,6,22,1980,20,NL,M,32.0,209.0
3087,6,23,1980,13,NL,M,35.0,241.0
3089,6,23,1980,3,NL,F,32.0,150.0
3123,7,21,1980,24,NL,F,29.0,75.0
3133,7,21,1980,24,NL,F,34.0,191.0
3145,7,21,1980,20,NL,M,32.0,207.0
3162,7,22,1980,14,NL,F,33.0,80.0
3195,8,13,1980,24,NL,F,31.0,108.0
3212,8,13,1980,11,NL,M,31.0,83.0
3216,8,14,1980,3,NL,F,33.0,154.0
3217,8,14,1980,12,NL,F,33.0,173.0
