record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
274,10,16,1977,2,OL,F,20.0,21.0
321,10,17,1977,17,OL,F,20.28767123287671,23.0
626,2,19,1978,17,OL,F,20.0,35.0
666,3,11,1978,13,OL,M,21.0,38.0
722,3,13,1978,16,OL,F,20.28767123287671,30.0
740,4,8,1978,13,OL,M,20.758333333333333,31.575257731958764
860,5,17,1978,14,OL,M,20.758333333333333,31.575257731958764
861,5,17,1978,21,OL,F,19.0,29.0
951,6,8,1978,17,OL,F,21.0,29.0
1026,6,9,1978,13,OL,M,22.0,44.0
1068,7,7,1978,17,OL,F,20.0,29.0
1117,8,4,1978,20,OL,M,20.0,17.0
1142,8,4,1978,21,OL,M,20.0,20.0
1174,8,5,1978,13,OL,F,21.0,29.0
1175,8,5,1978,16,OL,M,22.0,31.575257731958764
1187,8,5,1978,16,OL,F,20.28767123287671,33.0
1190,8,5,1978,13,OL,M,22.0,31.575257731958764
1196,9,3,1978,17,OL,F,21.0,33.0
1233,9,3,1978,21,OL,M,21.0,24.0
1253,9,4,1978,13,OL,M,21.0,36.0
1313,10,7,1978,17,OL,M,20.0,30.0
1316,10,7,1978,21,OL,M,20.0,30.0
1385,10,8,1978,13,OL,F,20.0,24.0
1391,10,8,1978,13,OL,M,20.0,34.0
1410,11,4,1978,11,OL,M,20.0,33.0
1413,11,4,1978,8,OL,F,20.0,28.0
1432,11,4,1978,11,OL,F,20.0,28.0
1455,11,5,1978,18,OL,M,20.0,37.0
1457,11,5,1978,18,OL,M,20.0,26.0
1477,12,2,1978,17,OL,F,21.0,28.0
1479,12,2,1978,9,OL,M,21.0,34.0
1481,12,2,1978,9,OL,F,21.0,29.0
1482,12,2,1978,22,OL,M,20.0,28.0
1491,12,2,1978,22,OL,M,21.0,33.0
1495,12,2,1978,22,OL,F,21.0,32.0
1505,12,2,1978,8,OL,F,21.0,30.0
1507,12,2,1978,9,OL,M,21.0,44.0
1508,12,2,1978,22,OL,M,20.0,27.0
1510,12,2,1978,17,OL,M,21.0,31.575257731958764
1516,12,2,1978,17,OL,M,21.0,32.0
1532,12,3,1978,13,OL,F,21.0,29.0
1543,12,3,1978,2,OL,F,22.0,38.0
1544,12,3,1978,2,OL,M,21.0,32.0
1546,12,3,1978,6,OL,M,22.0,36.0
1561,1,28,1979,22,OL,M,19.0,35.0
1563,1,28,1979,1,OL,M,19.0,46.0
1566,1,28,1979,11,OL,M,21.0,35.0
1573,1,29,1979,2,OL,F,19.0,31.0
1574,1,29,1979,13,OL,M,20.758333333333333,39.0
1597,1,29,1979,2,OL,F,20.28767123287671,39.0
1598,1,29,1979,6,OL,F,20.28767123287671,32.0
1617,2,24,1979,22,OL,F,20.0,40.0
1618,2,24,1979,9,OL,M,21.0,37.0
1622,2,24,1979,8,OL,F,21.0,32.0
1626,2,24,1979,11,OL,M,21.0,36.0
1646,2,25,1979,2,OL,F,20.0,30.0
1662,2,25,1979,16,OL,F,22.0,35.0
1664,2,25,1979,16,OL,M,21.0,34.0
1669,2,25,1979,13,OL,F,22.0,39.0
1880,7,4,1979,3,OL,F,19.0,21.0
1942,7,25,1979,8,OL,F,21.0,36.0
1950,7,26,1979,3,OL,F,20.0,31.0
1952,7,26,1979,3,OL,M,20.0,35.0
1962,8,21,1979,13,OL,F,20.0,45.0
1968,8,21,1979,14,OL,F,20.0,24.0
1969,8,21,1979,14,OL,M,20.0,35.0
1980,8,22,1979,11,OL,M,20.0,27.0
2016,9,22,1979,10,OL,F,20.0,29.0
2041,9,22,1979,9,OL,F,19.0,34.0
2044,9,23,1979,3,OL,M,22.0,34.0
2045,9,23,1979,3,OL,F,20.0,46.0
2052,9,23,1979,13,OL,F,20.0,40.0
2067,9,23,1979,14,OL,F,19.0,31.0
2089,10,24,1979,10,OL,F,21.0,25.0
2103,10,24,1979,19,OL,M,21.0,27.0
2112,10,25,1979,3,OL,F,21.0,32.0
2114,10,25,1979,3,OL,M,22.0,36.0
2155,11,17,1979,18,OL,M,21.0,31.0
2163,11,17,1979,2,OL,F,21.0,34.0
2169,11,17,1979,18,OL,F,21.0,33.0
2173,11,17,1979,18,OL,M,21.0,34.0
2178,11,17,1979,2,OL,F,19.0,35.0
2183,11,17,1979,2,OL,M,21.0,36.0
2187,11,17,1979,1,OL,M,20.0,41.0
2209,11,18,1979,11,OL,M,19.0,19.0
2212,11,18,1979,12,OL,M,21.0,29.0
2226,11,18,1979,17,OL,F,19.0,29.0
2228,11,18,1979,18,OL,F,21.0,31.0
2245,11,18,1979,8,OL,M,21.0,36.0
2253,11,18,1979,8,OL,F,20.0,35.0
2281,1,15,1980,11,OL,M,20.0,29.0
2283,1,15,1980,11,OL,M,21.0,23.0
2284,1,15,1980,9,OL,M,20.0,32.0
2285,1,15,1980,10,OL,F,20.0,24.0
2291,1,15,1980,9,OL,F,21.0,34.0
2295,1,15,1980,9,OL,M,21.0,36.0
2304,1,15,1980,20,OL,F,21.0,27.0
2309,1,15,1980,10,OL,F,21.0,30.0
2314,1,15,1980,17,OL,F,20.28767123287671,32.0
2323,1,15,1980,17,OL,M,22.0,31.0
2371,1,16,1980,24,OL,F,21.0,26.0
2373,1,16,1980,3,OL,M,22.0,36.0
2375,1,16,1980,2,OL,M,21.0,36.0
2383,1,16,1980,2,OL,F,21.0,38.0
2391,1,16,1980,2,OL,F,21.0,34.0
2418,2,24,1980,8,OL,F,22.0,35.0
2421,2,24,1980,8,OL,M,21.0,39.0
2427,2,24,1980,11,OL,F,21.0,32.0
2441,2,24,1980,17,OL,F,19.0,37.0
2443,2,24,1980,17,OL,M,20.758333333333333,35.0
2448,2,24,1980,9,OL,M,21.0,35.0
2504,2,25,1980,24,OL,F,20.0,33.0
2526,2,25,1980,24,OL,M,21.0,37.0
2531,2,25,1980,2,OL,F,23.0,41.0
2532,2,25,1980,2,OL,M,21.0,40.0
2553,3,9,1980,13,OL,M,20.758333333333333,38.0
2565,3,9,1980,20,OL,F,20.28767123287671,36.0
2568,3,9,1980,9,OL,F,20.28767123287671,34.0
2610,3,9,1980,22,OL,M,20.758333333333333,36.0
2627,3,9,1980,2,OL,M,20.758333333333333,39.0
2637,3,9,1980,12,OL,F,20.28767123287671,38.0
2649,3,9,1980,2,OL,F,20.28767123287671,38.0
2650,3,9,1980,6,OL,M,20.758333333333333,40.0
2664,3,9,1980,9,OL,F,20.28767123287671,37.0
2688,3,9,1980,17,OL,M,20.758333333333333,35.0
2717,3,9,1980,11,OL,M,20.758333333333333,33.0
2722,3,9,1980,9,OL,M,20.758333333333333,36.0
2747,3,21,1980,10,OL,F,20.28767123287671,42.0
2748,3,21,1980,17,OL,M,20.758333333333333,35.0
2752,3,21,1980,17,OL,F,20.28767123287671,40.0
2779,3,21,1980,9,OL,M,20.758333333333333,36.0
2818,3,22,1980,2,OL,M,20.758333333333333,37.0
2820,3,22,1980,13,OL,M,20.758333333333333,37.0
2830,4,17,1980,20,OL,F,20.28767123287671,36.0
2852,4,17,1980,17,OL,F,20.28767123287671,33.0
2861,4,17,1980,10,OL,F,20.28767123287671,32.0
2879,4,18,1980,4,OL,F,20.28767123287671,35.0
2892,4,18,1980,4,OL,M,20.758333333333333,42.0
2903,4,18,1980,13,OL,F,20.28767123287671,38.0
2914,5,17,1980,10,OL,M,19.0,36.0
2920,5,17,1980,9,OL,M,21.0,38.0
2968,5,18,1980,8,OL,F,20.0,24.0
2973,5,18,1980,15,OL,F,20.0,39.0
2978,5,18,1980,2,OL,M,21.0,39.0
3040,6,2,1980,9,OL,F,19.0,28.0
3043,6,22,1980,10,OL,M,20.0,35.0
