record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
36,7,17,1977,16,OT,F,22.0,24.230555555555554
248,10,16,1977,22,OT,M,20.25739910313901,21.0
299,10,17,1977,17,OT,M,19.0,24.230555555555554
584,2,18,1978,3,OT,M,20.25739910313901,24.0
598,2,18,1978,2,OT,F,20.281648675171738,24.0
599,2,18,1978,3,OT,F,15.0,23.0
603,2,18,1978,2,OT,M,20.25739910313901,25.0
611,2,19,1978,21,OT,F,20.0,23.0
630,2,19,1978,5,OT,F,18.0,22.0
631,2,19,1978,5,OT,M,20.0,25.0
658,3,11,1978,3,OT,F,21.0,22.0
659,3,11,1978,20,OT,F,20.0,21.0
663,3,11,1978,2,OT,M,18.0,25.0
668,3,11,1978,3,OT,M,21.0,26.0
670,3,11,1978,2,OT,F,20.0,25.0
693,3,12,1978,21,OT,M,20.25739910313901,24.230555555555554
706,3,12,1978,17,OT,F,20.281648675171738,24.230555555555554
708,3,12,1978,5,OT,M,20.0,26.0
713,3,13,1978,8,OT,M,15.0,29.0
723,3,13,1978,8,OT,F,16.0,35.0
735,4,8,1978,6,OT,F,18.0,24.230555555555554
746,4,8,1978,22,OT,M,20.0,24.230555555555554
756,4,8,1978,21,OT,F,20.0,24.230555555555554
777,4,9,1978,8,OT,M,20.0,27.0
784,4,9,1978,17,OT,M,20.25739910313901,23.0
826,4,10,1978,16,OT,M,20.0,18.0
859,5,6,1978,21,OT,F,13.0,9.0
915,5,19,1978,13,OT,F,18.0,24.0
918,5,19,1978,2,OT,F,21.0,30.0
978,6,8,1978,21,OT,M,18.0,12.0
1009,6,9,1978,3,OT,F,20.0,29.0
1027,6,9,1978,13,OT,F,19.0,28.0
1067,7,7,1978,12,OT,F,19.0,22.0
1144,8,4,1978,19,OT,M,19.0,12.0
1222,9,3,1978,11,OT,M,20.0,24.0
1235,9,3,1978,11,OT,F,20.0,20.0
1237,9,3,1978,17,OT,M,20.25739910313901,24.230555555555554
1256,9,4,1978,3,OT,M,21.0,27.0
1286,9,4,1978,3,OT,F,20.0,28.0
1288,9,4,1978,1,OT,M,19.0,20.0
1311,10,7,1978,9,OT,M,20.0,18.0
1354,10,8,1978,5,OT,F,21.0,20.0
1355,10,8,1978,5,OT,M,20.0,19.0
1381,10,8,1978,5,OT,F,20.0,25.0
1390,10,8,1978,5,OT,M,20.0,25.0
1405,11,4,1978,11,OT,F,20.0,23.0
1420,11,4,1978,19,OT,M,20.0,21.0
1421,11,4,1978,12,OT,F,21.0,22.0
1436,11,4,1978,8,OT,F,20.0,24.0
1443,11,5,1978,5,OT,M,20.0,21.0
1462,11,5,1978,4,OT,F,20.0,22.0
1472,11,5,1978,2,OT,F,20.0,23.0
1473,11,5,1978,4,OT,M,20.0,28.0
1493,12,2,1978,11,OT,F,20.0,25.0
1533,12,3,1978,3,OT,F,20.0,23.0
1541,12,3,1978,2,OT,M,21.0,24.230555555555554
1542,12,3,1978,3,OT,M,20.0,28.0
1547,12,3,1978,5,OT,F,22.0,26.0
1548,12,3,1978,5,OT,M,20.0,21.0
1584,1,29,1979,2,OT,M,20.25739910313901,30.0
1585,1,29,1979,3,OT,F,20.281648675171738,27.0
1594,1,29,1979,2,OT,M,20.25739910313901,26.0
1645,2,25,1979,3,OT,M,21.0,26.0
1650,2,25,1979,3,OT,F,20.0,30.0
1755,4,29,1979,4,OT,M,18.0,28.0
1762,4,29,1979,15,OT,M,20.0,23.0
1819,5,30,1979,15,OT,M,20.0,24.0
1822,5,30,1979,15,OT,F,18.0,15.0
1854,7,3,1979,21,OT,F,21.0,18.0
1855,7,3,1979,21,OT,M,20.0,27.0
1908,7,24,1979,13,OT,F,20.0,27.0
1924,7,25,1979,2,OT,F,19.0,25.0
1930,7,25,1979,14,OT,M,22.0,19.0
1943,7,25,1979,17,OT,F,20.0,25.0
1961,8,21,1979,13,OT,M,20.0,20.0
1964,8,21,1979,21,OT,F,21.0,17.0
1981,8,22,1979,17,OT,M,18.0,27.0
1986,8,22,1979,12,OT,F,20.0,17.0
1997,8,23,1979,3,OT,M,20.0,28.0
1998,8,23,1979,9,OT,F,20.0,30.0
2003,8,23,1979,2,OT,F,21.0,27.0
2011,8,23,1979,2,OT,M,21.0,20.0
2012,8,23,1979,5,OT,F,31.0,19.0
2015,8,23,1979,5,OT,F,19.0,18.0
2021,9,22,1979,22,OT,M,20.0,31.0
2024,9,22,1979,12,OT,M,19.0,20.0
2028,9,22,1979,20,OT,F,20.0,21.0
2031,9,22,1979,11,OT,M,19.0,27.0
2038,9,22,1979,22,OT,M,19.0,19.0
2048,9,23,1979,13,OT,M,20.0,21.0
2050,9,23,1979,2,OT,F,20.0,23.0
2054,9,23,1979,2,OT,F,20.0,29.0
2057,9,23,1979,5,OT,M,20.0,22.0
2058,9,23,1979,1,OT,M,19.0,24.0
2066,9,23,1979,5,OT,F,21.0,25.0
2069,9,23,1979,18,OT,F,20.0,26.0
2096,10,24,1979,11,OT,F,20.0,27.0
2100,10,24,1979,9,OT,F,21.0,21.0
2104,10,24,1979,9,OT,M,22.0,22.0
2108,10,24,1979,11,OT,M,19.0,18.0
2109,10,24,1979,11,OT,M,21.0,19.0
2119,10,25,1979,6,OT,F,21.0,23.0
2121,10,25,1979,15,OT,F,20.0,19.0
2129,10,25,1979,5,OT,F,21.0,26.0
2132,10,25,1979,5,OT,M,20.0,23.0
2136,10,25,1979,5,OT,F,19.0,21.0
2142,11,17,1979,17,OT,M,18.0,20.0
2144,11,17,1979,17,OT,M,21.0,22.0
2146,11,17,1979,15,OT,F,20.0,22.0
2151,11,17,1979,18,OT,F,20.0,22.0
2153,11,17,1979,6,OT,F,20.0,23.0
2156,11,17,1979,5,OT,M,20.0,23.0
2157,11,17,1979,24,OT,F,20.0,21.0
2158,11,17,1979,1,OT,F,21.0,24.0
2166,11,17,1979,15,OT,M,21.0,21.0
2172,11,17,1979,17,OT,F,20.0,28.0
2196,11,18,1979,7,OT,M,19.0,22.0
2206,11,18,1979,10,OT,F,20.0,22.0
2210,11,18,1979,11,OT,M,19.0,22.0
2223,11,18,1979,16,OT,M,19.0,19.0
2235,11,18,1979,20,OT,M,20.0,20.0
2236,11,18,1979,20,OT,M,20.0,24.0
2238,11,18,1979,22,OT,M,18.0,23.0
2239,11,18,1979,23,OT,M,20.0,22.0
2240,11,18,1979,23,OT,F,20.0,23.0
2278,1,15,1980,9,OT,M,21.0,23.0
2280,1,15,1980,21,OT,F,20.0,21.0
2287,1,15,1980,21,OT,M,19.0,22.0
2306,1,15,1980,17,OT,M,20.0,20.0
2307,1,15,1980,17,OT,F,21.0,25.0
2321,1,15,1980,20,OT,M,20.0,25.0
2337,1,16,1980,1,OT,M,20.0,23.0
2345,1,16,1980,5,OT,M,21.0,21.0
2348,1,16,1980,6,OT,F,21.0,20.0
2351,1,16,1980,13,OT,F,20.0,21.0
2369,1,16,1980,24,OT,M,20.0,22.0
2374,1,16,1980,16,OT,M,20.0,20.0
2392,1,16,1980,2,OT,F,19.0,20.0
2407,1,16,1980,15,OT,F,20.0,22.0
2412,2,24,1980,18,OT,M,19.0,25.0
2413,2,24,1980,18,OT,F,21.0,27.0
2426,2,24,1980,21,OT,F,20.0,25.0
2468,2,25,1980,5,OT,F,19.0,29.0
2507,2,25,1980,15,OT,M,21.0,26.0
2508,2,25,1980,15,OT,F,20.0,26.0
2528,2,25,1980,1,OT,F,20.0,24.0
2541,3,9,1980,24,OT,F,20.281648675171738,24.0
2542,3,9,1980,1,OT,F,20.281648675171738,26.0
2580,3,9,1980,20,OT,M,20.25739910313901,25.0
2593,3,9,1980,13,OT,M,20.25739910313901,28.0
2598,3,9,1980,15,OT,F,20.281648675171738,27.0
2602,3,9,1980,6,OT,F,20.281648675171738,27.0
2618,3,9,1980,13,OT,F,20.281648675171738,21.0
2670,3,9,1980,1,OT,F,20.281648675171738,22.0
2675,3,9,1980,19,OT,M,20.25739910313901,24.0
2680,3,9,1980,19,OT,F,20.281648675171738,24.0
2699,3,9,1980,20,OT,M,20.25739910313901,24.0
2710,3,9,1980,15,OT,F,20.281648675171738,26.0
2716,3,9,1980,6,OT,M,20.25739910313901,24.0
2738,3,9,1980,18,OT,M,20.25739910313901,25.0
2787,3,22,1980,15,OT,F,20.281648675171738,33.0
2794,3,22,1980,16,OT,F,20.281648675171738,31.0
2809,3,22,1980,18,OT,F,20.281648675171738,28.0
2817,3,22,1980,15,OT,M,20.25739910313901,30.0
2823,3,22,1980,18,OT,M,20.25739910313901,25.0
2831,4,17,1980,17,OT,M,20.25739910313901,15.0
2836,4,17,1980,10,OT,F,17.0,10.0
2855,4,17,1980,10,OT,M,19.0,10.0
2884,4,18,1980,15,OT,F,20.281648675171738,36.0
2887,4,18,1980,16,OT,F,20.281648675171738,22.0
2945,5,17,1980,17,OT,F,22.0,28.0
3028,5,25,1980,5,OT,F,20.281648675171738,33.0
3095,6,23,1980,15,OT,M,20.25739910313901,26.0
