record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
22711,9,23,1995,1,PB,F,24.0,30.0
22868,10,28,1995,1,PB,F,25.0,31.0
22870,10,28,1995,1,PB,F,26.0,39.0
22948,10,29,1995,6,PB,F,27.0,29.0
23007,12,2,1995,1,PB,F,27.0,40.0
23125,12,21,1995,1,PB,F,28.0,39.0
23132,12,21,1995,1,PB,F,27.0,30.0
23226,1,27,1996,1,PB,F,27.0,38.0
23232,1,27,1996,1,PB,F,26.0,31.735943060498226
23239,1,27,1996,2,PB,M,29.0,46.0
23367,2,24,1996,1,PB,F,26.0,42.0
23373,2,24,1996,1,PB,F,26.0,31.0
23535,3,23,1996,1,PB,M,30.0,49.0
24015,6,13,1996,19,PB,F,25.0,26.0
24052,6,13,1996,2,PB,M,26.0,26.0
24216,7,20,1996,2,PB,F,26.0,24.0
24281,8,14,1996,19,PB,F,23.0,23.0
24303,8,14,1996,1,PB,F,26.0,32.0
24397,9,21,1996,12,PB,M,26.0,31.0
24399,9,21,1996,1,PB,F,26.0,32.0
24423,9,21,1996,2,PB,M,26.0,36.0
24440,9,21,1996,2,PB,F,25.0,24.0
24444,9,21,1996,20,PB,M,26.0,25.0
24451,9,21,1996,22,PB,M,28.0,40.0
24452,9,21,1996,2,PB,M,25.0,32.0
24480,9,22,1996,3,PB,F,27.0,26.0
24521,9,22,1996,6,PB,F,26.0,29.0
24555,10,12,1996,1,PB,F,26.0,34.0
24566,10,12,1996,19,PB,M,27.0,26.0
24571,10,12,1996,2,PB,M,27.0,37.0
24579,10,12,1996,2,PB,M,26.0,26.0
24584,10,12,1996,22,PB,M,27.0,35.0
24586,10,12,1996,20,PB,M,27.0,31.0
24595,10,12,1996,2,PB,M,28.0,38.0
24621,10,13,1996,3,PB,F,27.0,30.0
24691,11,16,1996,1,PB,F,26.0,34.0
24692,11,16,1996,2,PB,M,28.0,30.0
24717,11,16,1996,2,PB,M,25.0,27.0
24724,11,17,1996,6,PB,F,27.0,29.0
24737,11,17,1996,3,PB,F,27.0,33.0
24794,12,18,1996,2,PB,M,27.0,34.0
24845,12,18,1996,2,PB,F,24.0,26.0
24848,12,18,1996,19,PB,F,26.0,28.0
24850,12,18,1996,2,PB,M,27.0,44.0
24853,12,18,1996,22,PB,M,26.0,45.0
24886,12,19,1996,3,PB,F,27.0,39.0
24921,2,8,1997,2,PB,M,22.0,32.0
24933,2,8,1997,19,PB,F,27.0,30.0
24990,2,8,1997,22,PB,M,28.0,42.0
24995,2,8,1997,2,PB,M,28.0,37.0
24999,2,8,1997,2,PB,F,27.0,38.0
25007,2,8,1997,2,PB,M,26.0,43.0
