record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
7,7,16,1977,2,PE,F,20.272058823529413,21.58650793650793
60,7,18,1977,19,PE,M,20.0,21.58650793650793
238,9,13,1977,2,PE,M,20.0,19.0
262,10,16,1977,20,PE,M,19.0,20.0
279,10,16,1977,2,PE,F,19.0,21.58650793650793
517,1,8,1978,2,PE,M,26.0,22.0
604,2,18,1978,2,PE,M,22.0,25.0
671,3,11,1978,2,PE,M,20.0,28.0
673,3,11,1978,2,PE,F,20.272058823529413,29.0
739,4,8,1978,13,PE,M,19.0,21.58650793650793
742,4,8,1978,13,PE,M,18.0,21.58650793650793
744,4,8,1978,20,PE,F,21.0,21.58650793650793
1108,8,4,1978,17,PE,M,20.0,19.0
1110,8,4,1978,17,PE,F,19.0,14.0
1202,9,3,1978,7,PE,F,30.0,24.0
1218,9,3,1978,7,PE,M,21.0,19.0
1240,9,3,1978,19,PE,F,20.0,13.0
1283,9,4,1978,2,PE,F,20.0,20.0
1295,9,4,1978,18,PE,F,18.0,16.0
1301,9,4,1978,2,PE,M,20.0,17.0
1467,11,5,1978,2,PE,M,20.0,22.0
1603,1,29,1979,2,PE,M,20.13213213213213,26.0
1675,3,31,1979,17,PE,M,20.0,23.0
1746,4,28,1979,20,PE,M,19.0,19.0
1760,4,29,1979,13,PE,M,18.0,13.0
1873,7,3,1979,23,PE,F,20.0,27.0
1907,7,24,1979,19,PE,F,19.0,24.0
1921,7,25,1979,17,PE,M,18.0,8.0
2018,9,22,1979,23,PE,M,20.0,23.0
2036,9,22,1979,21,PE,F,19.0,24.0
2092,10,24,1979,19,PE,M,19.0,19.0
2099,10,24,1979,23,PE,M,21.0,24.0
2116,10,25,1979,24,PE,M,18.0,19.0
2140,11,17,1979,3,PE,F,19.0,24.0
2148,11,17,1979,3,PE,M,19.0,17.0
2190,11,17,1979,6,PE,M,19.0,20.0
2263,11,18,1979,23,PE,F,18.0,18.0
2267,11,18,1979,19,PE,M,19.0,21.0
2318,1,15,1980,19,PE,F,20.0,17.0
2435,2,24,1980,19,PE,M,20.0,21.0
2439,2,24,1980,23,PE,F,22.0,19.0
2457,2,25,1980,2,PE,M,21.0,23.0
2530,2,25,1980,2,PE,F,21.0,21.0
2572,3,9,1980,1,PE,F,20.272058823529413,24.0
2711,3,9,1980,19,PE,F,20.272058823529413,23.0
2734,3,9,1980,19,PE,M,20.13213213213213,21.0
2772,3,21,1980,23,PE,M,20.13213213213213,21.0
2776,3,21,1980,19,PE,F,20.272058823529413,21.0
2878,4,18,1980,24,PE,M,20.13213213213213,21.0
2921,5,17,1980,24,PE,F,20.0,33.0
3049,6,22,1980,24,PE,M,20.0,22.0
3071,6,22,1980,19,PE,M,19.0,18.0
3127,7,21,1980,24,PE,M,20.0,24.0
3128,7,21,1980,24,PE,F,20.0,35.0
3286,9,7,1980,19,PE,F,21.0,27.0
3363,10,11,1980,20,PE,M,20.0,18.0
3409,11,8,1980,24,PE,F,20.0,21.0
3682,12,16,1980,17,PE,F,20.0,19.0
3687,1,11,1981,20,PE,F,19.0,19.0
3764,1,12,1981,10,PE,M,21.0,25.0
