record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
6,7,16,1977,1,PF,M,14.0,7.92312661498708
10,7,16,1977,6,PF,F,20.0,7.92312661498708
69,8,19,1977,2,PF,M,15.0,8.0
74,8,19,1977,8,PF,M,12.0,7.0
78,8,19,1977,1,PF,M,16.0,9.0
81,8,19,1977,4,PF,F,14.0,8.0
87,8,20,1977,5,PF,F,11.0,9.0
113,8,20,1977,5,PF,F,13.0,8.0
136,8,21,1977,13,PF,F,16.0,7.92312661498708
139,8,21,1977,14,PF,M,15.0,7.92312661498708
172,9,11,1977,22,PF,F,15.550624133148403,8.0
196,9,12,1977,7,PF,F,15.0,7.0
216,9,12,1977,4,PF,F,13.0,9.0
218,9,13,1977,1,PF,M,13.0,4.0
332,10,18,1977,12,PF,M,16.0,8.0
358,11,12,1977,13,PF,F,16.0,7.0
368,11,12,1977,9,PF,F,16.0,7.0
375,11,12,1977,9,PF,F,15.0,6.0
376,11,12,1977,1,PF,F,15.0,7.0
391,11,13,1977,11,PF,M,15.0,7.0
408,11,14,1977,8,PF,F,9.0,6.0
430,12,10,1977,9,PF,F,15.0,7.0
434,12,10,1977,13,PF,F,16.0,7.0
440,12,10,1977,1,PF,F,16.0,7.0
470,12,11,1977,4,PF,M,15.0,6.0
474,12,11,1977,8,PF,F,15.0,6.0
498,12,11,1977,3,PF,M,16.0,7.0
510,1,8,1978,13,PF,F,16.0,8.0
514,1,8,1978,9,PF,M,16.0,7.0
520,1,8,1978,3,PF,M,15.0,7.0
532,1,8,1978,2,PF,F,15.550624133148403,7.0
590,2,18,1978,2,PF,F,16.0,7.0
650,3,11,1978,2,PF,F,15.0,7.0
652,3,11,1978,2,PF,M,14.0,8.0
662,3,11,1978,13,PF,F,15.0,8.0
672,3,11,1978,3,PF,M,15.0,8.0
683,3,12,1978,21,PF,F,15.550624133148403,7.92312661498708
738,4,8,1978,13,PF,M,15.62077922077922,7.92312661498708
750,4,8,1978,9,PF,F,15.550624133148403,7.92312661498708
833,5,6,1978,2,PF,M,14.0,8.0
920,5,19,1978,8,PF,F,15.0,7.0
968,6,8,1978,22,PF,M,13.0,7.0
969,6,8,1978,21,PF,M,15.0,8.0
976,6,8,1978,8,PF,F,15.0,8.0
995,6,9,1978,2,PF,M,16.0,8.0
1064,7,7,1978,21,PF,M,16.0,8.0
1124,8,4,1978,21,PF,M,15.0,8.0
1161,8,5,1978,6,PF,F,16.0,6.0
1214,9,3,1978,21,PF,M,16.0,7.0
1217,9,3,1978,20,PF,M,16.0,8.0
1230,9,3,1978,19,PF,M,16.0,6.0
1232,9,3,1978,9,PF,M,15.0,7.0
1246,9,3,1978,8,PF,M,15.0,8.0
1265,9,4,1978,15,PF,F,16.0,6.0
1275,9,4,1978,3,PF,F,17.0,7.0
1282,9,4,1978,4,PF,F,16.0,6.0
1343,10,7,1978,11,PF,F,15.0,6.0
1351,10,8,1978,2,PF,M,15.0,6.0
1357,10,8,1978,18,PF,F,15.0,7.0
1366,10,8,1978,3,PF,F,15.0,7.92312661498708
1372,10,8,1978,13,PF,F,15.0,7.0
1380,10,8,1978,3,PF,F,16.0,6.0
1386,10,8,1978,15,PF,F,15.0,7.0
1400,11,4,1978,19,PF,M,15.0,6.0
1427,11,4,1978,21,PF,F,15.0,6.0
1686,3,31,1979,13,PF,F,16.0,7.0
1688,3,31,1979,22,PF,F,20.0,7.0
1796,5,29,1979,21,PF,F,15.0,7.92312661498708
1856,7,3,1979,22,PF,F,16.0,8.0
1860,7,3,1979,20,PF,F,15.0,9.0
1871,7,3,1979,21,PF,F,15.0,7.0
1872,7,3,1979,21,PF,M,15.0,8.0
1910,7,24,1979,20,PF,M,17.0,10.0
1916,7,24,1979,20,PF,F,20.0,9.0
1917,7,24,1979,21,PF,M,21.0,7.92312661498708
1923,7,25,1979,18,PF,F,15.550624133148403,6.0
2051,9,23,1979,2,PF,F,16.0,7.0
2061,9,23,1979,3,PF,F,15.0,7.0
2117,10,25,1979,3,PF,M,20.0,7.0
2147,11,17,1979,15,PF,M,14.0,6.0
2164,11,17,1979,3,PF,M,14.0,7.0
2167,11,17,1979,2,PF,F,14.0,7.0
2179,11,17,1979,3,PF,F,14.0,8.0
2249,11,18,1979,21,PF,M,15.0,8.0
2272,1,15,1980,11,PF,F,16.0,10.0
2277,1,15,1980,8,PF,M,15.0,8.0
2313,1,15,1980,21,PF,M,16.0,8.0
2328,1,15,1980,21,PF,F,16.0,9.0
2380,1,16,1980,15,PF,M,14.0,7.0
2393,1,16,1980,3,PF,F,15.0,7.0
2404,1,16,1980,4,PF,F,15.0,7.0
2405,1,16,1980,15,PF,F,16.0,7.0
2414,2,24,1980,11,PF,F,15.0,7.0
2438,2,24,1980,21,PF,M,15.0,9.0
2503,2,25,1980,3,PF,M,15.0,7.0
2506,2,25,1980,3,PF,F,15.0,5.0
2514,2,25,1980,4,PF,F,15.0,7.0
2516,2,25,1980,15,PF,M,14.0,7.0
2533,2,25,1980,3,PF,M,14.0,8.0
2536,3,9,1980,2,PF,F,15.550624133148403,7.0
2540,3,9,1980,21,PF,M,15.62077922077922,7.0
2548,3,9,1980,3,PF,F,15.550624133148403,6.0
2576,3,9,1980,15,PF,F,15.550624133148403,7.0
2583,3,9,1980,3,PF,M,15.62077922077922,8.0
2591,3,9,1980,4,PF,M,15.62077922077922,5.0
2595,3,9,1980,3,PF,M,15.62077922077922,8.0
2617,3,9,1980,11,PF,F,15.550624133148403,7.0
2636,3,9,1980,3,PF,M,15.62077922077922,7.0
2659,3,9,1980,21,PF,M,15.62077922077922,9.0
2720,3,9,1980,5,PF,M,15.62077922077922,6.0
2729,3,9,1980,4,PF,F,15.550624133148403,7.0
2730,3,9,1980,6,PF,M,15.62077922077922,7.0
2753,3,21,1980,1,PF,F,14.0,7.0
2760,3,21,1980,21,PF,M,15.62077922077922,7.92312661498708
2800,3,22,1980,3,PF,M,15.62077922077922,8.0
2803,3,22,1980,4,PF,M,15.62077922077922,5.0
2807,3,22,1980,15,PF,F,15.550624133148403,11.0
2810,3,22,1980,3,PF,M,15.62077922077922,8.0
2821,3,22,1980,13,PF,F,15.550624133148403,7.0
2835,4,17,1980,1,PF,F,15.550624133148403,7.0
2858,4,17,1980,8,PF,M,15.0,8.0
2870,4,18,1980,15,PF,F,15.550624133148403,8.0
2871,4,18,1980,4,PF,M,15.62077922077922,7.0
2875,4,18,1980,6,PF,M,15.62077922077922,8.0
2880,4,18,1980,5,PF,M,15.62077922077922,8.0
2881,4,18,1980,3,PF,M,15.62077922077922,8.0
2883,4,18,1980,2,PF,M,15.62077922077922,8.0
2899,4,18,1980,15,PF,M,15.62077922077922,7.0
2900,4,18,1980,2,PF,M,15.62077922077922,6.0
2905,4,18,1980,15,PF,M,15.62077922077922,8.0
2928,5,17,1980,11,PF,F,15.0,8.0
2966,5,18,1980,15,PF,M,14.0,7.0
2967,5,18,1980,15,PF,M,14.0,7.0
2974,5,18,1980,13,PF,M,14.0,6.0
2989,5,18,1980,15,PF,F,14.0,8.0
2990,5,18,1980,3,PF,F,15.0,7.0
3059,6,22,1980,11,PF,M,15.0,7.0
3100,6,23,1980,6,PF,M,15.0,7.0
3115,6,23,1980,13,PF,M,16.0,7.0
3129,7,21,1980,11,PF,M,16.0,7.0
3163,7,22,1980,15,PF,M,16.0,7.0
3172,7,22,1980,13,PF,F,15.0,7.0
3175,7,22,1980,15,PF,F,14.0,8.0
3192,8,13,1980,19,PF,M,15.0,8.0
3221,8,14,1980,15,PF,F,16.0,9.0
3222,8,14,1980,3,PF,M,16.0,10.0
3228,8,14,1980,3,PF,F,16.0,10.0
3230,8,14,1980,13,PF,M,14.0,6.0
3239,8,14,1980,13,PF,F,14.0,10.0
3273,9,7,1980,13,PF,F,15.0,9.0
3275,9,7,1980,19,PF,M,16.0,8.0
3287,9,7,1980,8,PF,M,14.0,8.0
3289,9,7,1980,22,PF,F,16.0,8.0
3294,9,8,1980,15,PF,M,15.0,8.0
3298,9,8,1980,3,PF,M,16.0,10.0
3308,9,8,1980,15,PF,F,15.0,6.0
3313,9,8,1980,15,PF,F,14.0,8.0
3323,9,8,1980,3,PF,F,15.0,6.0
3353,10,11,1980,13,PF,F,14.0,7.0
3355,10,11,1980,1,PF,F,15.0,7.92312661498708
3362,10,11,1980,22,PF,F,16.0,8.0
3382,10,12,1980,3,PF,M,16.0,7.0
3386,10,12,1980,18,PF,M,15.0,8.0
3416,11,8,1980,19,PF,M,15.0,7.0
3435,11,8,1980,22,PF,F,16.0,7.0
3436,11,8,1980,8,PF,F,14.0,7.0
3506,11,9,1980,3,PF,M,15.0,6.0
3524,11,9,1980,4,PF,F,15.0,7.0
3538,11,9,1980,3,PF,F,15.0,7.0
3540,11,9,1980,6,PF,M,14.0,7.0
3558,12,15,1980,3,PF,M,15.0,7.0
3578,12,15,1980,4,PF,F,16.0,7.0
3589,12,15,1980,6,PF,F,15.0,7.0
3648,12,16,1980,22,PF,F,16.0,7.0
3661,12,16,1980,19,PF,M,15.0,8.0
3676,12,16,1980,8,PF,F,15.0,7.0
3703,1,11,1981,19,PF,M,15.0,9.0
3783,1,12,1981,15,PF,F,15.0,7.0
3791,1,12,1981,6,PF,M,15.0,8.0
3827,1,31,1981,19,PF,M,15.0,9.0
3830,1,31,1981,22,PF,F,15.0,7.0
3858,1,31,1981,22,PF,M,15.0,8.0
3866,2,1,1981,15,PF,F,15.0,8.0
3903,2,1,1981,6,PF,M,15.0,7.0
3921,3,8,1981,8,PF,M,15.62077922077922,6.0
3925,3,8,1981,19,PF,M,16.0,9.0
3982,3,9,1981,3,PF,F,16.0,6.0
3987,3,9,1981,4,PF,F,16.0,9.0
4000,3,9,1981,15,PF,F,16.0,6.0
4002,3,9,1981,3,PF,F,16.0,7.0
4016,4,5,1981,19,PF,M,15.62077922077922,9.0
4024,4,5,1981,3,PF,M,15.62077922077922,7.0
4052,4,5,1981,3,PF,F,15.0,4.0
4113,4,5,1981,5,PF,F,15.0,5.0
4175,4,5,1981,3,PF,F,15.550624133148403,8.0
4181,4,5,1981,22,PF,F,15.550624133148403,8.0
4202,4,6,1981,15,PF,M,15.62077922077922,8.0
4283,4,6,1981,2,PF,M,15.62077922077922,5.0
4357,5,3,1981,21,PF,M,14.0,7.0
4403,5,3,1981,19,PF,M,15.62077922077922,9.0
4448,5,4,1981,5,PF,M,15.0,7.0
4455,5,4,1981,3,PF,M,15.0,7.0
4460,5,4,1981,9,PF,M,14.0,6.0
4466,5,4,1981,4,PF,F,14.0,8.0
4474,5,4,1981,15,PF,M,14.0,7.0
4484,5,4,1981,5,PF,F,14.0,9.0
4493,6,4,1981,4,PF,M,11.0,6.0
4526,6,4,1981,4,PF,M,15.0,6.0
4527,6,4,1981,15,PF,M,15.0,7.0
4569,6,5,1981,22,PF,F,16.0,7.0
4633,7,7,1981,11,PF,M,16.0,6.0
4657,7,8,1981,5,PF,F,15.0,6.0
4658,7,8,1981,6,PF,F,13.0,5.0
4660,7,8,1981,15,PF,M,15.0,8.0
4661,7,8,1981,8,PF,M,15.0,7.0
