record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
9476,8,25,1984,14,PH,M,27.0,31.0
9502,8,26,1984,5,PH,M,28.0,29.0
9576,9,30,1984,3,PH,F,26.0,28.0
9631,10,20,1984,21,PH,F,25.0,25.0
9653,10,20,1984,21,PH,F,25.0,23.0
9688,10,21,1984,3,PH,F,25.9,31.06451612903226
9729,12,30,1984,21,PH,F,25.0,32.0
10757,9,21,1985,21,PH,M,26.0,30.0
11005,11,16,1985,21,PH,M,25.0,34.0
11141,12,7,1985,21,PH,M,26.0,34.0
11280,3,8,1986,21,PH,M,27.0,39.0
15121,11,6,1988,11,PH,M,26.0,33.0
16629,11,4,1989,22,PH,F,26.0,29.0
16789,12,4,1989,22,PH,F,27.0,32.0
17024,1,29,1990,22,PH,F,28.0,33.0
17155,2,24,1990,22,PH,F,27.0,33.0
17272,3,29,1990,22,PH,F,27.0,34.0
17399,4,24,1990,22,PH,F,27.0,34.0
17505,5,23,1990,22,PH,F,26.0,34.0
17680,7,21,1990,22,PH,F,28.0,32.0
17683,7,21,1990,22,PH,F,25.0,18.0
19590,1,9,1992,13,PH,F,24.0,29.0
19744,2,8,1992,13,PH,F,25.0,29.0
19857,3,8,1992,13,PH,F,26.0,29.0
19899,4,4,1992,21,PH,F,27.0,31.0
19906,4,5,1992,13,PH,M,22.0,18.0
19917,4,5,1992,13,PH,M,25.0,34.0
19969,5,2,1992,21,PH,F,26.0,48.0
22443,7,20,1995,1,PH,M,26.0,42.0
22454,7,20,1995,1,PH,F,23.0,29.0
22678,9,23,1995,1,PH,F,25.0,35.0
25811,5,10,1997,18,PH,M,23.0,22.0
