record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
883,5,18,1978,17,PM,F,20.0,22.0
1132,8,4,1978,19,PM,F,20.2797783933518,21.0
1140,8,4,1978,19,PM,M,20.0,19.0
1653,2,25,1979,2,PM,F,19.0,26.0
1657,2,25,1979,15,PM,F,19.0,24.0
1670,2,25,1979,2,PM,M,21.0,26.0
1765,4,29,1979,15,PM,M,22.0,18.0
2171,11,17,1979,1,PM,M,22.0,25.0
2193,11,18,1979,7,PM,M,21.0,23.0
3640,12,16,1980,23,PM,M,21.0,21.0
3765,1,12,1981,10,PM,F,19.0,26.0
3944,3,8,1981,21,PM,M,21.0,16.0
4099,4,5,1981,19,PM,F,20.0,23.0
4103,4,5,1981,20,PM,M,22.0,20.0
4254,4,6,1981,24,PM,M,20.530020703933747,19.0
4303,4,6,1981,21,PM,M,20.530020703933747,21.364155251141558
4375,5,3,1981,19,PM,F,20.0,25.0
4489,6,4,1981,15,PM,M,21.0,20.0
4540,6,4,1981,15,PM,F,22.0,20.0
4641,7,7,1981,19,PM,M,22.0,23.0
4893,10,24,1981,19,PM,M,19.0,18.0
4992,11,22,1981,19,PM,M,21.0,24.0
5005,11,22,1981,18,PM,F,21.0,24.0
5083,12,30,1981,19,PM,F,21.0,10.0
5106,12,30,1981,19,PM,F,22.0,9.0
5111,12,30,1981,19,PM,M,23.0,22.0
5174,1,1,1982,3,PM,M,20.0,24.0
5215,1,24,1982,19,PM,M,21.0,24.0
5234,1,24,1982,10,PM,M,19.0,20.0
5236,1,24,1982,10,PM,F,20.0,19.0
5330,2,22,1982,19,PM,M,21.0,23.0
5350,2,22,1982,21,PM,M,21.0,22.0
5352,2,22,1982,21,PM,F,20.2797783933518,21.364155251141558
5528,3,29,1982,24,PM,M,18.0,18.0
5538,3,29,1982,19,PM,M,21.0,22.0
5567,3,29,1982,10,PM,M,20.0,10.0
5573,3,29,1982,19,PM,M,21.0,12.0
5576,3,29,1982,19,PM,M,20.0,18.0
5577,3,29,1982,10,PM,F,21.0,12.0
5579,3,29,1982,18,PM,M,19.0,17.0
5581,3,29,1982,19,PM,M,20.0,11.0
5596,3,30,1982,7,PM,F,21.0,27.0
5637,3,30,1982,15,PM,F,19.0,34.0
5657,3,30,1982,17,PM,F,21.0,28.0
5682,4,28,1982,10,PM,M,20.0,17.0
5688,4,28,1982,10,PM,F,19.0,13.0
5697,4,28,1982,17,PM,M,21.0,17.0
5715,4,28,1982,10,PM,F,21.0,32.0
5731,4,28,1982,19,PM,M,20.0,19.0
5742,4,28,1982,12,PM,F,19.0,19.0
5774,4,29,1982,15,PM,F,19.0,18.0
5830,4,29,1982,15,PM,M,21.0,23.0
5861,5,21,1982,24,PM,M,18.0,23.0
5884,5,21,1982,19,PM,M,21.0,20.0
5888,5,21,1982,18,PM,F,22.0,24.0
6002,6,28,1982,15,PM,F,20.2797783933518,29.0
6031,6,28,1982,15,PM,M,20.530020703933747,23.0
6087,6,29,1982,24,PM,F,20.2797783933518,18.0
6089,6,29,1982,19,PM,M,20.530020703933747,21.0
6101,6,29,1982,24,PM,M,20.530020703933747,24.0
6134,6,29,1982,19,PM,F,20.2797783933518,34.0
6227,7,26,1982,24,PM,M,20.530020703933747,24.0
6236,7,26,1982,15,PM,F,20.2797783933518,22.0
6253,7,26,1982,24,PM,F,20.2797783933518,21.0
6278,7,26,1982,18,PM,F,20.2797783933518,16.0
6286,7,26,1982,15,PM,F,20.2797783933518,22.0
6292,7,27,1982,19,PM,M,20.530020703933747,24.0
6303,7,27,1982,19,PM,F,20.2797783933518,25.0
6324,7,27,1982,19,PM,M,20.530020703933747,22.0
6329,8,15,1982,19,PM,F,20.0,18.0
6331,8,15,1982,24,PM,F,18.0,23.0
6348,8,15,1982,24,PM,M,20.0,22.0
6363,8,15,1982,18,PM,M,20.0,23.0
6390,8,15,1982,18,PM,M,20.0,18.0
6402,8,15,1982,24,PM,M,20.0,25.0
6414,8,15,1982,19,PM,F,21.0,27.0
6440,8,16,1982,8,PM,F,20.0,23.0
6483,8,16,1982,15,PM,M,20.0,21.0
6563,9,18,1982,14,PM,M,21.0,23.0
6603,9,19,1982,19,PM,M,21.0,21.0
6617,9,19,1982,24,PM,M,21.0,23.0
6636,9,19,1982,19,PM,M,21.0,23.0
6652,10,23,1982,23,PM,F,21.0,19.0
6684,10,23,1982,19,PM,M,20.0,23.0
6728,10,23,1982,15,PM,M,19.0,19.0
6771,10,23,1982,19,PM,M,21.0,21.0
6795,10,24,1982,6,PM,F,19.0,26.0
6797,10,24,1982,16,PM,F,20.0,19.0
6833,10,24,1982,24,PM,M,21.0,23.0
6982,11,21,1982,19,PM,M,20.0,22.0
7001,11,21,1982,18,PM,M,21.0,28.0
7027,11,21,1982,19,PM,F,19.0,15.0
7081,11,22,1982,6,PM,M,21.0,24.0
7142,1,12,1983,21,PM,F,21.0,19.0
7156,1,12,1983,21,PM,F,21.0,23.0
7189,1,12,1983,11,PM,M,21.0,24.0
7191,1,12,1983,24,PM,M,19.0,19.0
7215,1,12,1983,15,PM,M,21.0,21.0
7313,1,13,1983,6,PM,M,19.0,24.0
7354,2,26,1983,11,PM,M,21.0,25.0
7413,2,27,1983,23,PM,M,19.0,18.0
7481,3,14,1983,19,PM,M,21.0,26.0
7676,4,16,1983,24,PM,M,21.0,25.0
7759,4,17,1983,11,PM,M,21.0,25.0
7764,4,17,1983,5,PM,M,21.0,26.0
7788,4,17,1983,2,PM,M,20.0,19.0
7835,5,14,1983,24,PM,F,20.0,35.0
7839,5,14,1983,12,PM,M,19.0,11.0
7865,5,14,1983,24,PM,M,20.0,24.0
7942,6,17,1983,19,PM,M,21.0,20.0
7944,6,17,1983,24,PM,F,19.0,21.0
7964,6,17,1983,19,PM,M,20.0,26.0
8067,7,16,1983,19,PM,M,20.0,27.0
8081,7,16,1983,24,PM,M,21.0,24.0
8085,7,16,1983,19,PM,F,20.0,18.0
8091,7,16,1983,19,PM,M,21.0,19.0
8155,8,15,1983,19,PM,M,19.0,24.0
8187,8,15,1983,24,PM,F,19.0,22.0
8246,8,16,1983,7,PM,M,21.0,20.0
8276,9,10,1983,19,PM,M,20.0,24.0
8327,9,10,1983,19,PM,M,21.0,21.0
8393,9,11,1983,7,PM,M,21.0,20.0
8420,10,15,1983,15,PM,M,21.0,22.0
8452,10,15,1983,19,PM,M,18.0,23.0
8527,10,16,1983,24,PM,M,21.0,25.0
8576,11,12,1983,24,PM,F,19.0,23.0
8585,11,12,1983,16,PM,M,21.0,21.0
8643,11,13,1983,7,PM,M,21.0,21.0
8644,11,13,1983,7,PM,M,21.0,21.0
8648,11,13,1983,7,PM,F,20.0,17.0
8677,11,13,1983,3,PM,M,22.0,21.0
8689,12,8,1983,19,PM,M,20.0,22.0
8720,12,8,1983,19,PM,F,21.0,15.0
8746,12,8,1983,16,PM,M,21.0,22.0
8781,12,9,1983,7,PM,M,21.0,22.0
8828,2,4,1984,21,PM,F,21.0,27.0
8914,3,12,1984,24,PM,M,20.0,19.0
8934,3,12,1984,19,PM,F,20.0,24.0
8987,4,9,1984,12,PM,F,20.0,24.0
8990,4,9,1984,22,PM,M,21.0,21.0
9033,4,10,1984,15,PM,M,21.0,17.0
9125,5,13,1984,15,PM,M,21.0,17.0
9155,5,13,1984,15,PM,F,21.0,17.0
9246,5,28,1984,15,PM,M,20.0,22.0
9379,7,31,1984,6,PM,F,20.0,13.0
9774,12,31,1984,11,PM,F,19.0,14.0
9812,1,19,1985,19,PM,M,20.0,7.0
9833,1,19,1985,14,PM,F,21.0,22.0
9860,1,20,1985,11,PM,F,20.0,16.0
10007,2,17,1985,2,PM,M,20.0,19.0
10053,3,16,1985,19,PM,F,19.0,14.0
10075,3,16,1985,18,PM,F,20.0,21.0
10090,3,17,1985,15,PM,M,20.0,16.0
10101,3,17,1985,3,PM,M,18.0,11.0
10181,4,20,1985,17,PM,M,20.0,16.0
10182,4,20,1985,24,PM,M,20.0,21.0
10187,4,20,1985,14,PM,M,21.0,24.0
10220,4,20,1985,21,PM,F,21.0,27.0
10283,4,21,1985,15,PM,F,20.0,19.0
10306,4,21,1985,3,PM,M,19.0,21.0
10387,5,23,1985,19,PM,F,21.0,24.0
10546,7,23,1985,19,PM,F,21.0,24.0
10856,10,12,1985,19,PM,M,21.0,21.0
11346,4,12,1986,24,PM,M,19.0,18.0
11385,4,13,1986,1,PM,F,22.0,26.0
11448,5,10,1986,18,PM,M,20.0,18.0
11453,5,10,1986,21,PM,F,20.0,21.0
11465,5,10,1986,20,PM,F,20.0,22.0
11486,5,10,1986,19,PM,F,21.0,15.0
11513,5,11,1986,11,PM,M,20.0,20.0
11547,6,4,1986,19,PM,F,21.0,26.0
11555,6,4,1986,19,PM,M,20.0,19.0
11571,6,4,1986,19,PM,F,21.0,23.0
11576,6,4,1986,18,PM,F,21.0,24.0
11646,7,3,1986,19,PM,F,20.0,22.0
11666,7,3,1986,19,PM,M,20.0,20.0
11677,7,3,1986,21,PM,F,19.0,26.0
11679,7,3,1986,19,PM,M,19.0,12.0
11747,8,9,1986,18,PM,M,20.0,21.364155251141558
11889,10,4,1986,23,PM,M,19.0,21.0
11901,10,4,1986,19,PM,F,20.0,25.0
11968,11,15,1986,21,PM,F,19.0,27.0
11980,11,15,1986,18,PM,F,20.0,21.0
12006,11,15,1986,16,PM,M,20.0,24.0
12027,11,16,1986,3,PM,F,20.0,18.0
12035,11,16,1986,3,PM,M,20.0,21.0
12040,11,16,1986,2,PM,F,19.0,18.0
12044,11,16,1986,2,PM,F,20.0,20.0
12061,11,16,1986,2,PM,M,21.0,20.0
12089,12,14,1986,21,PM,M,21.0,25.0
12095,12,14,1986,19,PM,F,19.0,24.0
12115,12,14,1986,17,PM,M,20.0,22.0
12142,12,15,1986,2,PM,M,18.0,25.0
12150,12,15,1986,2,PM,M,19.0,23.0
12159,12,15,1986,15,PM,M,19.0,22.0
12162,12,15,1986,3,PM,F,20.0,23.0
12198,1,31,1987,21,PM,M,19.0,26.0
12203,1,31,1987,19,PM,F,19.0,25.0
12220,1,31,1987,19,PM,M,18.0,18.0
12225,1,31,1987,23,PM,M,22.0,28.0
12247,2,1,1987,3,PM,F,19.0,10.0
12268,2,1,1987,3,PM,F,20.0,29.0
12304,2,1,1987,3,PM,M,20.0,24.0
12308,2,1,1987,3,PM,F,17.0,9.0
12312,2,1,1987,3,PM,M,20.0,19.0
12315,2,1,1987,3,PM,F,18.0,8.0
12336,3,1,1987,19,PM,F,20.0,30.0
12338,3,1,1987,21,PM,M,21.0,25.0
12372,3,1,1987,23,PM,F,19.0,31.0
12377,3,1,1987,23,PM,M,22.0,27.0
12412,3,2,1987,7,PM,F,20.0,31.0
12429,3,2,1987,3,PM,M,20.0,24.0
12452,3,2,1987,3,PM,F,20.0,27.0
12454,3,2,1987,2,PM,M,25.0,27.0
12471,4,4,1987,19,PM,M,21.0,26.0
12495,4,4,1987,6,PM,F,21.0,24.0
12498,4,4,1987,19,PM,F,19.0,33.0
12501,4,4,1987,23,PM,F,18.0,11.0
12509,4,4,1987,23,PM,M,21.0,11.0
12577,4,6,1987,2,PM,M,21.0,25.0
12578,4,6,1987,5,PM,F,21.0,26.0
12590,4,6,1987,15,PM,M,21.0,26.0
12596,4,6,1987,2,PM,F,21.0,32.0
12604,4,6,1987,2,PM,M,21.0,25.0
12612,4,25,1987,21,PM,M,21.0,27.0
12614,4,25,1987,16,PM,M,19.0,24.0
12631,4,25,1987,17,PM,F,20.0,13.0
12672,4,26,1987,2,PM,F,19.0,24.0
12677,4,26,1987,3,PM,M,21.0,14.0
12714,4,26,1987,3,PM,M,21.0,21.0
12717,4,26,1987,3,PM,M,20.0,14.0
12723,4,26,1987,5,PM,F,21.0,21.0
