record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
18,7,16,1977,2,PP,M,22.0,17.173941798941797
29,7,17,1977,11,PP,M,21.838642659279778,17.173941798941797
49,7,18,1977,12,PP,F,17.0,17.173941798941797
89,8,20,1977,12,PP,F,20.0,15.0
108,8,20,1977,11,PP,M,21.0,17.173941798941797
163,9,11,1977,12,PP,F,21.0,16.0
217,9,13,1977,3,PP,F,19.0,15.0
897,5,18,1978,11,PP,M,21.0,15.0
933,5,19,1978,2,PP,F,20.0,13.0
981,6,8,1978,11,PP,M,21.0,15.0
991,6,9,1978,13,PP,M,23.0,17.0
1032,7,7,1978,11,PP,M,22.0,16.0
1076,7,8,1978,15,PP,F,21.0,12.0
1078,7,8,1978,15,PP,F,23.0,10.0
1088,7,8,1978,14,PP,M,23.0,10.0
1116,8,4,1978,12,PP,M,22.0,18.0
1126,8,4,1978,20,PP,F,22.0,13.0
1135,8,4,1978,21,PP,M,19.0,14.0
1181,8,5,1978,15,PP,F,21.0,14.0
1201,9,3,1978,12,PP,M,23.0,19.0
1221,9,3,1978,11,PP,F,22.0,14.0
1227,9,3,1978,11,PP,M,22.0,13.0
1236,9,3,1978,21,PP,M,22.0,15.0
1257,9,4,1978,3,PP,F,21.0,13.0
1264,9,4,1978,15,PP,F,20.0,15.0
1294,9,4,1978,2,PP,M,21.0,19.0
1318,10,7,1978,11,PP,F,21.0,15.0
1352,10,8,1978,3,PP,F,22.0,17.173941798941797
1368,10,8,1978,15,PP,F,21.0,16.0
1375,10,8,1978,13,PP,M,23.0,20.0
1378,10,8,1978,18,PP,M,21.0,16.0
1757,4,29,1979,15,PP,F,21.0,15.0
1789,5,29,1979,20,PP,M,21.0,20.0
1823,5,30,1979,15,PP,F,22.0,17.173941798941797
1842,5,30,1979,15,PP,M,22.0,20.0
1884,7,4,1979,15,PP,F,22.0,14.0
1895,7,4,1979,15,PP,F,20.0,16.0
1898,7,4,1979,2,PP,M,20.0,10.0
1940,7,25,1979,11,PP,M,22.0,16.0
1946,7,26,1979,15,PP,F,22.0,16.0
1948,7,26,1979,15,PP,F,20.0,17.0
1953,7,26,1979,15,PP,F,21.0,11.0
1954,7,26,1979,15,PP,F,20.0,11.0
1988,8,22,1979,15,PP,F,20.0,15.0
2013,8,23,1979,1,PP,F,20.0,14.0
2039,9,22,1979,8,PP,F,22.0,14.0
2047,9,23,1979,15,PP,F,20.0,16.0
2071,9,23,1979,1,PP,F,22.0,14.0
2084,10,24,1979,11,PP,M,21.0,16.0
2127,10,25,1979,15,PP,F,21.0,16.0
2260,11,18,1979,11,PP,M,22.0,16.0
2564,3,9,1980,9,PP,M,21.838642659279778,15.0
2853,4,17,1980,1,PP,F,21.676620076238883,12.0
2942,5,17,1980,1,PP,M,20.0,17.0
2953,5,17,1980,1,PP,F,20.0,19.0
3062,6,22,1980,21,PP,F,21.0,11.0
3092,6,23,1980,1,PP,F,21.0,7.0
3097,6,23,1980,1,PP,M,21.0,17.0
3170,7,22,1980,1,PP,F,21.0,14.0
3218,8,14,1980,12,PP,F,20.0,13.0
3233,8,14,1980,1,PP,F,21.0,18.0
3256,9,7,1980,20,PP,F,21.0,9.0
