record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
311,10,17,1977,19,RM,M,18.0,13.0
397,11,13,1977,17,RM,F,16.0,7.0
1478,12,2,1978,19,RM,M,17.0,8.0
1494,12,2,1978,21,RM,F,17.0,7.0
2135,10,25,1979,3,RM,M,14.0,7.0
2150,11,17,1979,3,RM,M,13.0,7.0
2154,11,17,1979,14,RM,F,14.0,9.0
2185,11,17,1979,24,RM,M,14.0,7.0
2255,11,18,1979,11,RM,F,15.0,9.0
2258,11,18,1979,19,RM,F,12.0,11.0
2288,1,15,1980,19,RM,F,17.0,12.0
2303,1,15,1980,19,RM,F,18.0,9.0
2315,1,15,1980,17,RM,F,17.0,9.0
2316,1,15,1980,19,RM,M,16.0,9.0
2327,1,15,1980,10,RM,M,16.0,10.0
2379,1,16,1980,15,RM,F,15.0,10.0
2419,2,24,1980,19,RM,M,15.0,10.0
2420,2,24,1980,20,RM,F,16.0,12.0
2425,2,24,1980,11,RM,F,17.0,16.0
2432,2,24,1980,21,RM,F,14.0,8.0
2442,2,24,1980,10,RM,M,16.0,10.0
2509,2,25,1980,13,RM,M,14.0,8.0
2512,2,25,1980,3,RM,M,16.0,11.0
2513,2,25,1980,3,RM,M,17.0,11.0
2518,2,25,1980,2,RM,F,17.0,9.0
2523,2,25,1980,15,RM,F,16.0,9.0
2529,2,25,1980,15,RM,M,15.0,8.0
2537,3,9,1980,3,RM,M,16.491512345679013,10.0
2573,3,9,1980,3,RM,F,16.391879964695498,14.0
2581,3,9,1980,21,RM,F,16.391879964695498,11.0
2623,3,9,1980,12,RM,M,16.491512345679013,10.0
2625,3,9,1980,20,RM,F,16.391879964695498,16.0
2639,3,9,1980,21,RM,M,16.491512345679013,8.0
2645,3,9,1980,19,RM,M,16.491512345679013,9.0
2646,3,9,1980,2,RM,M,16.491512345679013,10.0
2652,3,9,1980,19,RM,M,16.491512345679013,10.0
2673,3,9,1980,19,RM,F,16.391879964695498,12.0
2685,3,9,1980,11,RM,F,16.391879964695498,14.0
2697,3,9,1980,22,RM,F,16.391879964695498,10.58500986193294
2754,3,21,1980,21,RM,F,16.391879964695498,5.0
2755,3,21,1980,19,RM,F,16.391879964695498,13.0
2758,3,21,1980,12,RM,F,16.391879964695498,10.58500986193294
2759,3,21,1980,19,RM,F,16.391879964695498,12.0
2764,3,21,1980,12,RM,M,16.491512345679013,9.0
2767,3,21,1980,21,RM,F,16.391879964695498,5.0
2774,3,21,1980,19,RM,M,16.491512345679013,9.0
2793,3,22,1980,3,RM,M,16.491512345679013,10.0
2797,3,22,1980,3,RM,M,16.491512345679013,10.0
2825,3,22,1980,15,RM,M,16.491512345679013,7.0
2834,4,17,1980,19,RM,M,16.491512345679013,10.0
2844,4,17,1980,19,RM,M,16.491512345679013,9.0
2848,4,17,1980,10,RM,F,16.391879964695498,12.0
2872,4,18,1980,3,RM,M,16.491512345679013,10.0
2890,4,18,1980,3,RM,F,16.391879964695498,12.0
2894,4,18,1980,24,RM,F,16.391879964695498,9.0
3332,10,11,1980,24,RM,F,17.0,13.0
3698,1,11,1981,19,RM,M,16.0,11.0
3709,1,11,1981,19,RM,F,16.0,12.0
3780,1,12,1981,12,RM,M,16.0,11.0
3831,1,31,1981,12,RM,M,16.0,12.0
3838,1,31,1981,19,RM,F,16.0,10.58500986193294
3841,1,31,1981,19,RM,M,16.0,9.0
3908,3,8,1981,19,RM,M,17.0,10.0
3912,3,8,1981,23,RM,F,17.0,13.0
4118,4,5,1981,23,RM,F,16.391879964695498,17.0
4379,5,3,1981,23,RM,F,17.0,15.0
4531,6,4,1981,23,RM,F,18.0,12.0
4585,6,5,1981,19,RM,M,16.0,12.0
4860,10,1,1981,4,RM,M,19.0,14.0
4966,11,22,1981,17,RM,M,18.0,10.0
5006,11,22,1981,19,RM,M,17.0,10.0
5008,11,22,1981,24,RM,F,17.0,11.0
5031,11,23,1981,3,RM,F,17.0,9.0
5061,11,23,1981,3,RM,F,16.0,9.0
5082,12,30,1981,21,RM,F,17.0,10.0
5088,12,30,1981,17,RM,F,17.0,10.0
5089,12,30,1981,19,RM,M,18.0,9.0
5092,12,30,1981,20,RM,M,17.0,10.0
5094,12,30,1981,21,RM,F,17.0,11.0
5095,12,30,1981,19,RM,F,19.0,14.0
5101,12,30,1981,15,RM,M,16.0,9.0
5103,12,30,1981,15,RM,F,18.0,12.0
5114,12,31,1981,12,RM,F,16.0,9.0
5123,12,31,1981,12,RM,M,17.0,8.0
