record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
19125,10,10,1991,20,SO,F,30.0,80.0
19217,11,13,1991,2,SO,F,21.0,42.0
19270,11,14,1991,3,SO,F,27.0,78.0
19280,11,14,1991,20,SO,M,24.0,38.0
19283,11,14,1991,3,SO,F,27.0,27.0
19284,11,14,1991,3,SO,F,24.0,26.0
19301,11,14,1991,20,SO,F,29.0,82.0
19309,11,14,1991,3,SO,M,27.0,49.0
19418,12,7,1991,20,SO,F,28.0,80.0
19461,12,8,1991,3,SO,F,25.0,47.0
19472,12,8,1991,3,SO,F,24.0,44.0
19633,1,9,1992,3,SO,F,24.0,38.0
19655,2,6,1992,2,SO,F,26.0,51.0
19690,2,7,1992,20,SO,F,22.0,77.0
19699,2,7,1992,3,SO,M,26.0,49.0
19732,2,7,1992,3,SO,F,25.0,37.0
19733,2,7,1992,3,SO,F,25.0,39.0
19783,3,7,1992,3,SO,M,25.0,58.0
19827,3,7,1992,3,SO,F,25.0,39.0
19903,4,5,1992,3,SO,M,26.0,68.0
19961,5,2,1992,2,SO,F,30.0,82.0
19972,5,3,1992,3,SO,F,24.0,28.0
19978,5,3,1992,3,SO,F,27.0,105.0
20047,5,31,1992,3,SO,M,26.0,54.0
20156,7,4,1992,13,SO,F,18.0,74.0
20173,7,30,1992,20,SO,F,25.0,41.0
20242,8,29,1992,24,SO,F,25.0,79.0
20267,8,29,1992,2,SO,F,25.0,15.0
20389,9,27,1992,11,SO,F,25.0,72.0
20433,10,18,1992,24,SO,M,21.0,44.0
20471,10,19,1992,3,SO,F,25.633333333333333,55.41463414634146
20817,4,24,1993,3,SO,F,35.0,48.0
20869,5,23,1993,3,SO,M,26.0,76.0
20960,6,19,1993,6,SO,M,26.0,35.0
21006,7,15,1993,3,SO,F,15.0,49.0
21053,8,19,1993,2,SO,M,28.0,55.41463414634146
21226,11,13,1993,2,SO,F,25.0,70.0
21353,2,2,1994,3,SO,F,25.633333333333333,57.0
21360,2,2,1994,3,SO,F,36.0,44.0
21557,5,18,1994,24,SO,M,28.0,86.0
25703,5,10,1997,18,SO,F,27.0,43.0
25790,5,10,1997,2,SO,F,28.0,100.0
25820,5,10,1997,2,SO,F,22.0,21.0
