record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
21325,2,1,1994,2,DM,M,37.0,39.0
21326,2,1,1994,1,DM,M,35.0,39.0
21327,2,1,1994,19,PF,M,16.0,8.0
21328,2,1,1994,1,DM,F,36.0,41.0
21329,2,1,1994,1,DM,F,36.0,42.0
21331,2,1,1994,1,OT,F,20.0,20.0
21333,2,1,1994,12,DM,M,36.0,42.0
21334,2,1,1994,18,RM,F,16.391879964695498,8.0
21335,2,1,1994,12,DM,F,37.0,33.0
21337,2,1,1994,12,DM,F,36.0,42.0
21338,2,1,1994,1,DM,M,39.0,47.0
21340,2,1,1994,2,OT,M,20.0,36.0
21343,2,2,1994,17,DM,M,36.0,51.0
21344,2,2,1994,4,DM,M,38.0,48.0
21345,2,2,1994,3,NL,M,32.0,165.0
21346,2,2,1994,5,DM,F,39.0,42.0
21347,2,2,1994,16,RM,F,16.0,10.0
21348,2,2,1994,4,DM,F,36.0,42.0
21349,2,2,1994,17,DM,M,37.0,47.0
21350,2,2,1994,8,DO,M,38.0,49.0
21351,2,2,1994,17,DM,M,36.0,49.0
21352,2,2,1994,5,DM,M,35.0,46.0
21353,2,2,1994,3,SO,F,25.633333333333333,57.0
21354,2,2,1994,4,DM,M,36.0,44.0
21356,2,2,1994,8,DM,M,37.0,47.0
21357,2,2,1994,5,OT,M,20.0,22.0
21359,2,2,1994,5,OL,M,20.0,17.0
21360,2,2,1994,3,SO,F,36.0,44.0
21363,2,2,1994,3,RM,M,17.0,7.0
21364,2,3,1994,15,PF,F,16.0,8.0
21365,2,3,1994,13,OT,M,20.0,26.0
21366,2,3,1994,13,DM,M,35.0,43.0
21367,2,3,1994,9,DM,F,38.0,37.0
21368,2,3,1994,14,DM,M,38.0,43.0
21369,2,3,1994,11,DM,M,38.0,43.0
21372,2,3,1994,14,DM,M,37.0,47.0
21373,2,3,1994,5,OL,M,20.0,19.0
21374,2,3,1994,5,OT,F,20.0,24.0
21375,2,3,1994,14,DM,M,37.0,46.0
21376,2,3,1994,11,DM,F,37.0,43.0
21377,2,3,1994,13,OT,F,21.0,18.0
21378,2,3,1994,14,DM,M,36.0,44.0
21379,2,3,1994,13,OT,M,21.0,18.0
21380,2,3,1994,9,DM,M,37.0,41.0
21384,2,20,1994,17,DM,M,36.0,43.0
21385,2,20,1994,2,DM,M,37.0,40.0
21386,2,20,1994,17,DM,M,39.0,42.0
21387,2,20,1994,17,DM,F,36.0,47.0
21388,2,20,1994,17,DM,M,38.0,49.0
21389,2,20,1994,12,DM,F,38.0,33.0
21390,2,20,1994,18,RM,M,17.0,9.0
21391,2,20,1994,12,DM,F,37.0,40.0
21392,2,20,1994,22,DM,F,37.0,38.0
21393,2,20,1994,17,DM,M,38.0,52.0
21394,2,20,1994,17,DM,F,37.0,43.0
21395,2,20,1994,19,PF,F,16.0,8.0
21396,2,20,1994,12,DM,M,38.0,42.0
21397,2,20,1994,19,PF,F,15.0,8.0
21398,2,20,1994,7,RM,M,17.0,8.0
21399,2,20,1994,17,DM,M,39.0,44.0
21400,2,20,1994,2,OT,M,20.0,27.0
21403,2,21,1994,4,DM,F,36.0,45.0
21404,2,21,1994,11,DM,F,38.0,49.0
21405,2,21,1994,24,RM,M,14.0,11.0
21406,2,21,1994,3,NL,M,35.0,171.0
21407,2,21,1994,20,PF,M,17.0,9.0
21408,2,21,1994,3,NL,M,35.0,170.0
21409,2,21,1994,4,DM,M,38.0,50.0
21410,2,21,1994,11,RM,F,18.0,10.0
21411,2,21,1994,16,DM,M,37.0,49.0
21412,2,21,1994,4,DM,M,34.0,37.0
21413,2,21,1994,21,PF,F,18.0,8.0
21414,2,21,1994,4,DM,F,37.0,39.0
21415,2,21,1994,4,DM,M,35.0,50.0
21416,2,21,1994,3,OT,M,20.0,27.0
21418,2,22,1994,5,DM,M,36.0,46.0
21419,2,22,1994,14,DM,M,39.0,41.0
21421,2,22,1994,5,DM,M,35.0,46.0
21422,2,22,1994,15,PF,F,15.0,8.0
21423,2,22,1994,9,DM,M,37.0,42.0
21424,2,22,1994,14,DM,M,37.0,44.0
21425,2,22,1994,5,DM,F,37.0,42.0
21426,2,22,1994,14,DM,M,39.0,43.0
21428,2,22,1994,14,DM,M,36.0,44.0
